0.050362	0.079396	0.993002	0.518724	0.705248	0.996495	0.010738	0.001633	0.996499	0.020401	0.071787	0.021661	0.046194	0.050288	0.004218	0.887006	0.992005	0.096939	0.847859	0.797716	0.023824	0.983847	0.972518	0.943422	0.107214
0.008058	0.051049	0.933672	0.700278	0.253910	0.996330	0.132531	0.000684	0.997200	0.011799	0.132244	0.016620	0.022147	0.093244	0.002926	0.935966	0.997289	0.132243	0.317575	0.787750	0.011025	0.934105	0.891386	0.990982	0.059470
0.014195	0.024435	0.997519	0.884398	0.915196	0.980930	0.011065	0.011359	0.957483	0.079995	0.498434	0.240445	0.020408	0.015674	0.003917	0.798968	0.872003	0.023778	0.012689	0.016854	0.092899	0.965457	0.824334	0.956466	0.088676
0.045892	0.003616	0.995696	0.898915	0.862961	0.981715	0.011855	0.013297	0.677619	0.012929	0.136224	0.015642	0.065197	0.024844	0.000588	0.965593	0.984488	0.023840	0.016256	0.553205	0.020107	0.977518	0.935982	0.958277	0.026532
0.001883	0.077773	0.988549	0.691636	0.640481	0.999475	0.004083	0.000008	0.999994	0.247574	0.149970	0.020337	0.000300	0.054236	0.002754	0.309489	0.996780	0.177233	0.959890	0.906323	0.060924	0.903519	0.999866	0.998955	0.044736
0.003988	0.000601	0.999911	0.457415	0.919142	0.998219	0.010094	0.000018	0.999990	0.000671	0.040707	0.084865	0.000842	0.000745	0.043162	0.649251	0.978125	0.016432	0.763531	0.955388	0.025568	0.913065	0.999992	0.996425	0.048614
0.005987	0.010112	0.861310	0.870284	0.353791	0.981473	0.007891	0.000145	0.997303	0.417124	0.134432	0.203192	0.000861	0.213714	0.000008	0.867628	0.928420	0.045192	0.045748	0.469323	0.043524	0.993057	0.998233	0.999061	0.000103
0.005795	0.012081	0.997103	0.850661	0.980949	0.999220	0.026922	0.000133	0.994430	0.001213	0.029064	0.019163	0.153991	0.162985	0.384174	0.020790	0.943405	0.719122	0.805250	0.623449	0.136708	0.710938	0.996323	0.980115	0.721662
0.003567	0.044747	0.995927	0.588688	0.770562	0.997170	0.000310	0.000417	0.999253	0.075785	0.131868	0.139806	0.015999	0.010475	0.001088	0.411631	0.981361	0.046393	0.478801	0.589930	0.054258	0.930677	0.999226	0.997801	0.029096
0.002412	0.458069	0.794643	0.810940	0.335548	0.993021	0.014222	0.000785	0.995456	0.478347	0.058975	0.036907	0.004595	0.338127	0.000125	0.704618	0.999209	0.375983	0.087326	0.553920	0.045769	0.939917	0.879540	0.998841	0.015141
0.003303	0.288027	0.995088	0.832798	0.791109	0.997599	0.001465	0.000588	0.998649	0.209019	0.308861	0.195634	0.005702	0.010801	0.000230	0.454211	0.995555	0.176944	0.652890	0.667187	0.027268	0.868291	0.952928	0.988377	0.137468
0.024158	0.007038	0.994910	0.739527	0.984911	0.999594	0.002045	0.000102	0.999811	0.007381	0.016946	0.086264	0.038216	0.081421	0.044784	0.179794	0.877875	0.049023	0.970828	0.796966	0.133044	0.992026	0.999976	0.987132	0.098611
0.009356	0.053952	0.997269	0.792448	0.923192	0.998343	0.000498	0.000941	0.997723	0.030403	0.082695	0.023332	0.015376	0.004839	0.000793	0.767116	0.991374	0.138720	0.915553	0.875667	0.037563	0.968445	0.991480	0.983242	0.106146
0.067511	0.000599	0.999201	0.744582	0.994063	0.998872	0.004911	0.000456	0.997167	0.000587	0.009180	0.104542	0.491573	0.425924	0.217016	0.439863	0.773282	0.018946	0.802363	0.735512	0.078007	0.951533	0.999287	0.838739	0.338380
0.002830	0.019618	0.999271	0.404177	0.724019	0.999342	0.006437	0.000024	0.999885	0.001199	0.659609	0.215073	0.005223	0.001380	0.005005	0.980222	0.994495	0.005449	0.745709	0.963418	0.000129	0.959506	0.998529	0.984545	0.014777
0.028546	0.043920	0.995891	0.871645	0.506339	0.997344	0.006843	0.074201	0.980506	0.008732	0.672498	0.577099	0.277986	0.028499	0.006958	0.390160	0.767848	0.077875	0.910780	0.708452	0.010931	0.844433	0.995892	0.858860	0.018842
